value,type,severity,sources,first_seen,article_titles,article_links,source_count,article_count
CVE-2019-15126,cve,crit,ESET WeLiveSecurity,2026-04-16,Supply chain dependencies: Have you checked your blind spot?,https://www.welivesecurity.com/en/business-security/supply-chain-dependencies-have-you-checked-your-blind-spot/,1,1
CVE-2023-20198,cve,crit,Cisco Talos,2026-04-22,"IR Trends Q1 2026: Phishing reemerges as top initial access vector, as attacks targeting public administration persist",https://blog.talosintelligence.com/ir-trends-q1-2026/,1,1
CVE-2023-33538,cve,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17); A Deep Dive Into Attempted Exploitation of CVE-2023-33538,https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/; https://unit42.paloaltonetworks.com/exploitation-of-cve-2023-33538/,1,2
CVE-2025-0921,cve,crit,Unit 42 (Palo Alto),2026-04-16,A Deep Dive Into Attempted Exploitation of CVE-2023-33538,https://unit42.paloaltonetworks.com/exploitation-of-cve-2023-33538/,1,1
CVE-2025-14847,cve,crit,Unit 42 (Palo Alto); CISA KEV,2026-04-16,A Deep Dive Into Attempted Exploitation of CVE-2023-33538; CISA KEV: CVE-2025-14847 — MongoDB and MongoDB Server Improper Handling of Length Parameter Inconsistency Vulnerability,https://unit42.paloaltonetworks.com/exploitation-of-cve-2023-33538/; https://www.cisa.gov/known-exploited-vulnerabilities-catalog,2,2
CVE-2025-20333,cve,crit,Cisco Talos,2026-04-23,It pays to be a forever student; UAT-4356's Targeting of Cisco Firepower Devices,https://blog.talosintelligence.com/it-pays-to-be-a-forever-student/; https://blog.talosintelligence.com/uat-4356-firestarter/,1,2
CVE-2025-20362,cve,crit,Cisco Talos,2026-04-23,It pays to be a forever student; UAT-4356's Targeting of Cisco Firepower Devices,https://blog.talosintelligence.com/it-pays-to-be-a-forever-student/; https://blog.talosintelligence.com/uat-4356-firestarter/,1,2
CVE-2025-20393,cve,crit,Cisco Talos; CISA KEV,2026-04-22,"IR Trends Q1 2026: Phishing reemerges as top initial access vector, as attacks targeting public administration persist; CISA KEV: CVE-2025-20393 — Cisco Multiple Products Improper Input Validation Vulnerability",https://blog.talosintelligence.com/ir-trends-q1-2026/; https://www.cisa.gov/known-exploited-vulnerabilities-catalog,2,2
CVE-2025-21042,cve,crit,Unit 42 (Palo Alto); CISA KEV,2026-04-16,A Deep Dive Into Attempted Exploitation of CVE-2023-33538; CISA KEV: CVE-2025-21042 — Samsung Mobile Devices Out-of-Bounds Write Vulnerability,https://unit42.paloaltonetworks.com/exploitation-of-cve-2023-33538/; https://www.cisa.gov/known-exploited-vulnerabilities-catalog,2,2
CVE-2025-23304,cve,crit,Unit 42 (Palo Alto),2026-04-16,A Deep Dive Into Attempted Exploitation of CVE-2023-33538,https://unit42.paloaltonetworks.com/exploitation-of-cve-2023-33538/,1,1
CVE-2025-55182,cve,crit,Unit 42 (Palo Alto); CISA KEV,2026-04-24,The npm Threat Landscape: Attack Surface and Mitigations; When Wi-Fi Encryption Fails: Protecting Your Enterprise from AirSnitch Attacks; Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17); A Deep Dive Into Attempted Exploitation of CVE-2023-33538; Cracks in the Bedrock: Agent God Mode; Cracks in the Bedrock: Escaping the AWS AgentCore Sandbox; Understanding Current Threats to Kubernetes Environments; When an Attacker Meets a Group of Agents: Navigating Amazon Bedrock's Multi-Agent Applications; Threat Brief: Widespread Impact of the Axios Supply Chain Attack; Weaponizing the Protectors: TeamPCP’s Multi-Stage Supply Chain Attack on Security Infrastructure; Double Agents: Exposing Security Blind Spots in GCP Vertex AI; CISA KEV: CVE-2025-55182 — Meta React Server Components Remote Code Execution Vulnerability,https://unit42.paloaltonetworks.com/monitoring-npm-supply-chain-attacks/; https://unit42.paloaltonetworks.com/air-snitch-enterprise-wireless-attacks/; https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/; https://unit42.paloaltonetworks.com/exploitation-of-cve-2023-33538/; https://unit42.paloaltonetworks.com/exploit-of-aws-agentcore-iam-god-mode/; https://unit42.paloaltonetworks.com/bypass-of-aws-sandbox-network-isolation-mode/; https://unit42.paloaltonetworks.com/modern-kubernetes-threats/; https://unit42.paloaltonetworks.com/amazon-bedrock-multiagent-applications/; https://unit42.paloaltonetworks.com/axios-supply-chain-attack/; https://unit42.paloaltonetworks.com/teampcp-supply-chain-attacks/; https://unit42.paloaltonetworks.com/double-agents-vertex-ai/; https://www.cisa.gov/known-exploited-vulnerabilities-catalog,2,12
CVE-2025-59287,cve,crit,Unit 42 (Palo Alto),2026-04-16,A Deep Dive Into Attempted Exploitation of CVE-2023-33538,https://unit42.paloaltonetworks.com/exploitation-of-cve-2023-33538/,1,1
CVE-2025-66478,cve,crit,Unit 42 (Palo Alto); CISA KEV,2026-04-16,A Deep Dive Into Attempted Exploitation of CVE-2023-33538; CISA KEV: CVE-2025-55182 — Meta React Server Components Remote Code Execution Vulnerability,https://unit42.paloaltonetworks.com/exploitation-of-cve-2023-33538/; https://www.cisa.gov/known-exploited-vulnerabilities-catalog,2,2
CVE-2026-1281,cve,crit,Unit 42 (Palo Alto),2026-04-16,A Deep Dive Into Attempted Exploitation of CVE-2023-33538,https://unit42.paloaltonetworks.com/exploitation-of-cve-2023-33538/,1,1
CVE-2026-1340,cve,crit,Unit 42 (Palo Alto); CISA KEV,2026-04-16,A Deep Dive Into Attempted Exploitation of CVE-2023-33538; CISA KEV: CVE-2026-1340 — Ivanti Endpoint Manager Mobile (EPMM) Code Injection Vulnerability,https://unit42.paloaltonetworks.com/exploitation-of-cve-2023-33538/; https://www.cisa.gov/known-exploited-vulnerabilities-catalog,2,2
CVE-2026-1731,cve,crit,Unit 42 (Palo Alto); CISA KEV,2026-04-16,A Deep Dive Into Attempted Exploitation of CVE-2023-33538; CISA KEV: CVE-2026-1731 — BeyondTrust Remote Support (RS) and Privileged Remote Access (PRA) OS Command Injection Vulnerability,https://unit42.paloaltonetworks.com/exploitation-of-cve-2023-33538/; https://www.cisa.gov/known-exploited-vulnerabilities-catalog,2,2
CVE-2026-21509,cve,crit,ESET WeLiveSecurity; CISA KEV,2026-03-10,Sednit reloaded: Back in the trenches; CISA KEV: CVE-2026-21509 — Microsoft Office Security Feature Bypass Vulnerability,https://www.welivesecurity.com/en/eset-research/sednit-reloaded-back-trenches/; https://www.cisa.gov/known-exploited-vulnerabilities-catalog,2,2
CVE-2026-22584,cve,crit,Unit 42 (Palo Alto),2026-04-16,A Deep Dive Into Attempted Exploitation of CVE-2023-33538,https://unit42.paloaltonetworks.com/exploitation-of-cve-2023-33538/,1,1
CVE-2026-33032,cve,crit,The Hacker News,2026-04-22,"Harvester Deploys Linux GoGra Backdoor in South Asia Using Microsoft Graph API; Cohere AI Terrarium Sandbox Flaw Enables Root Code Execution, Container Escape; Ransomware Negotiator Pleads Guilty to Aiding BlackCat Attacks in 2023; 5 Places where Mature SOCs Keep MTTR Fast and Others Waste Time; NGate Campaign Targets Brazil, Trojanizes HandyPay to Steal NFC Data and PINs",https://thehackernews.com/2026/04/harvester-deploys-linux-gogra-backdoor.html; https://thehackernews.com/2026/04/cohere-ai-terrarium-sandbox-flaw.html; https://thehackernews.com/2026/04/ransomware-negotiator-pleads-guilty-to.html; https://thehackernews.com/2026/04/5-places-where-mature-socs-keep-mttr.html; https://thehackernews.com/2026/04/ngate-campaign-targets-brazil.html,1,5
CVE-2026-34197,cve,crit,The Hacker News; CISA KEV,2026-04-22,"Harvester Deploys Linux GoGra Backdoor in South Asia Using Microsoft Graph API; Cohere AI Terrarium Sandbox Flaw Enables Root Code Execution, Container Escape; Ransomware Negotiator Pleads Guilty to Aiding BlackCat Attacks in 2023; 5 Places where Mature SOCs Keep MTTR Fast and Others Waste Time; NGate Campaign Targets Brazil, Trojanizes HandyPay to Steal NFC Data and PINs; CISA KEV: CVE-2026-34197 — Apache ActiveMQ Improper Input Validation Vulnerability",https://thehackernews.com/2026/04/harvester-deploys-linux-gogra-backdoor.html; https://thehackernews.com/2026/04/cohere-ai-terrarium-sandbox-flaw.html; https://thehackernews.com/2026/04/ransomware-negotiator-pleads-guilty-to.html; https://thehackernews.com/2026/04/5-places-where-mature-socs-keep-mttr.html; https://thehackernews.com/2026/04/ngate-campaign-targets-brazil.html; https://www.cisa.gov/known-exploited-vulnerabilities-catalog,2,6
CVE-2026-5752,cve,crit,The Hacker News,2026-04-22,"Cohere AI Terrarium Sandbox Flaw Enables Root Code Execution, Container Escape",https://thehackernews.com/2026/04/cohere-ai-terrarium-sandbox-flaw.html,1,1
2b1.916.mytemp.website,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
2pd.f22.mytemp.website,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
6688cf.jhxrpbgq.com,domain,crit,Securelist (Kaspersky),2026-04-20,FakeWallet crypto stealer spreading through iOS apps in the App Store,https://securelist.com/fakewallet-cryptostealer-ios-app-store/119474/,1,1
92j.130.mytemp.website,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
adobe.com,domain,crit,Cisco Talos,2026-04-22,"IR Trends Q1 2026: Phishing reemerges as top initial access vector, as attacks targeting public administration persist",https://blog.talosintelligence.com/ir-trends-q1-2026/,1,1
ae-payapp.com,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
airansupasdports.cyou,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
alpha.filehost36.sbs,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
ao.online,domain,crit,ESET WeLiveSecurity,2026-04-21,New NGate variant hides in a trojanized NFC payment app,https://www.welivesecurity.com/en/eset-research/new-ngate-variant-hides-in-a-trojanized-nfc-payment-app/,1,1
api.dc1637.xyz,domain,crit,Securelist (Kaspersky),2026-04-20,FakeWallet crypto stealer spreading through iOS apps in the App Store,https://securelist.com/fakewallet-cryptostealer-ios-app-store/119474/,1,1
api.npoint.io,domain,crit,Securelist (Kaspersky),2026-04-20,FakeWallet crypto stealer spreading through iOS apps in the App Store,https://securelist.com/fakewallet-cryptostealer-ios-app-store/119474/,1,1
api.ra-backup.com,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
app1password.com,domain,crit,ESET WeLiveSecurity,2025-11-13,How password managers can be hacked – and how to stay safe,https://www.welivesecurity.com/en/cybersecurity/password-managers-under-attack-what-you-should-know/,1,1
appbitwarden.com,domain,crit,ESET WeLiveSecurity,2025-11-13,How password managers can be hacked – and how to stay safe,https://www.welivesecurity.com/en/cybersecurity/password-managers-under-attack-what-you-should-know/,1,1
appleid.apple.com-update.required.kontol.emiratesbankgroup.info,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
appstoreios.com,domain,crit,Securelist (Kaspersky),2026-04-20,FakeWallet crypto stealer spreading through iOS apps in the App Store,https://securelist.com/fakewallet-cryptostealer-ios-app-store/119474/,1,1
aramcoamericainvest.com,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
arch2.maxdatahost1.cyou,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
arch2.megadatahost3.homes,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
audit.checkmarx.cx,domain,crit,Unit 42 (Palo Alto),2026-04-24,The npm Threat Landscape: Attack Surface and Mitigations,https://unit42.paloaltonetworks.com/monitoring-npm-supply-chain-attacks/,1,1
b0p.c0d.mytemp.website,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
b1z.0f6.mytemp.website,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
bankiran.bet,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
bankofamerica.com.oidscreen.gorequestlocale.emiratesbankgroup.info,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
biransupasdports.cyou,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
bit.ly,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
bot.ddosvps.cc,domain,crit,Unit 42 (Palo Alto),2026-04-16,A Deep Dive Into Attempted Exploitation of CVE-2023-33538,https://unit42.paloaltonetworks.com/exploitation-of-cve-2023-33538/,1,1
buydubaipropertywithcrypto.com,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
c1y.bf3.mytemp.website,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
c45.94b.mytemp.website,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
cache3.filehost36.sbs,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
callnrwise.com,domain,crit,Unit 42 (Palo Alto),2026-04-01,Threat Brief: Widespread Impact of the Axios Supply Chain Attack,https://unit42.paloaltonetworks.com/axios-supply-chain-attack/,1,1
centrastage.net,domain,crit,Cisco Talos,2026-04-15,The n8n n8mare: How threat actors are misusing AI workflow automation,https://blog.talosintelligence.com/the-n8n-n8mare/,1,1
championships-peoples-point-cassette.trycloudflare.com,domain,crit,Unit 42 (Palo Alto),2026-03-31,Weaponizing the Protectors: TeamPCP’s Multi-Stage Supply Chain Attack on Security Infrastructure,https://unit42.paloaltonetworks.com/teampcp-supply-chain-attacks/,1,1
check02id.com,domain,crit,Microsoft Security Blog,2026-04-16,Dissecting Sapphire Sleet’s macOS intrusion from lure to compromise,https://www.microsoft.com/en-us/security/blog/2026/04/16/dissecting-sapphire-sleets-macos-intrusion-from-lure-to-compromise/,1,1
checkmarx.cx,domain,crit,Unit 42 (Palo Alto),2026-04-24,The npm Threat Landscape: Attack Surface and Mitigations,https://unit42.paloaltonetworks.com/monitoring-npm-supply-chain-attacks/,1,1
checkmarx.zone,domain,crit,Unit 42 (Palo Alto); Securelist (Kaspersky),2026-03-31,Weaponizing the Protectors: TeamPCP’s Multi-Stage Supply Chain Attack on Security Infrastructure; An AI gateway designed to steal your data,https://unit42.paloaltonetworks.com/teampcp-supply-chain-attacks/; https://securelist.com/litellm-supply-chain-attack/119257/,2,2
ciderurginsx.com,domain,crit,Securelist (Kaspersky),2026-04-13,JanelaRAT: a financial threat targeting users in Latin America,https://securelist.com/janelarat-financial-threat-in-latin-america/119332/,1,1
cnc.vietdediserver.shop,domain,crit,Unit 42 (Palo Alto),2026-04-16,A Deep Dive Into Attempted Exploitation of CVE-2023-33538,https://unit42.paloaltonetworks.com/exploitation-of-cve-2023-33538/,1,1
cnmaestro.sapb-aramco.com,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
com-govauv.top,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
cover.www.microsoft.com.irancell.courses,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
create-sensitivity-grad-sequence.trycloudflare.com,domain,crit,Unit 42 (Palo Alto),2026-03-31,Weaponizing the Protectors: TeamPCP’s Multi-Stage Supply Chain Attack on Security Infrastructure,https://unit42.paloaltonetworks.com/teampcp-supply-chain-attacks/,1,1
crypto-stroe.cc,domain,crit,Securelist (Kaspersky),2026-04-20,FakeWallet crypto stealer spreading through iOS apps in the App Store,https://securelist.com/fakewallet-cryptostealer-ios-app-store/119474/,1,1
cryptocurrencies-offers.com,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
d1g.ccd.mytemp.website,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
dnshook.site,domain,crit,Unit 42 (Palo Alto),2026-04-07,Cracks in the Bedrock: Escaping the AWS AgentCore Sandbox,https://unit42.paloaltonetworks.com/bypass-of-aws-sandbox-network-isolation-mode/,1,1
ds20221202.dsc.wcsset.com,domain,crit,ESET WeLiveSecurity,2025-11-19,PlushDaemon compromises network devices for adversary-in-the-middle attacks,https://www.welivesecurity.com/en/eset-research/plushdaemon-compromises-network-devices-for-adversary-in-the-middle-attacks/,1,1
dubai-custbims.top,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
dubai-custboms.top,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
dubai-customs.top,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
dubai-polices.ae-finesquery.com,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
dubaicuctoms.com,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
dubaicustoms.top,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
dubaicustonms.top,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
dubaiicuctoms.com,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
dubaipolice.gov-tollbillba.life,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
eg3.db1.mytemp.website,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
emirates-ae.pack-541202699.azmtrust.com,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
emirates-post.racunari-bl.com,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
emiratescryptobank.com,domain,crit,Unit 42 (Palo Alto),2026-04-17,Threat Brief: Escalation of Cyber Risk Related to Iran (Updated April 17),https://unit42.paloaltonetworks.com/iranian-cyberattacks-2026/,1,1
