indicator,indicator_type,severity,first_seen,description,source_url
CVE-2008-4250,cve,crit,2026-05-21,Showboat Linux Malware Hits Middle East Telecom with SOCKS5 Proxy Backdoor,https://thehackernews.com/2026/05/showboat-linux-malware-hits-middle-east.html
CVE-2009-1537,cve,crit,2026-05-21,Showboat Linux Malware Hits Middle East Telecom with SOCKS5 Proxy Backdoor,https://thehackernews.com/2026/05/showboat-linux-malware-hits-middle-east.html
CVE-2009-3459,cve,crit,2026-05-21,Showboat Linux Malware Hits Middle East Telecom with SOCKS5 Proxy Backdoor,https://thehackernews.com/2026/05/showboat-linux-malware-hits-middle-east.html
CVE-2010-0249,cve,crit,2026-05-21,Showboat Linux Malware Hits Middle East Telecom with SOCKS5 Proxy Backdoor,https://thehackernews.com/2026/05/showboat-linux-malware-hits-middle-east.html
CVE-2010-0806,cve,crit,2026-05-21,Showboat Linux Malware Hits Middle East Telecom with SOCKS5 Proxy Backdoor,https://thehackernews.com/2026/05/showboat-linux-malware-hits-middle-east.html
CVE-2017-7692,cve,crit,2026-05-20,Webworm: New burrowing techniques,https://www.welivesecurity.com/en/eset-research/webworm-new-burrowing-techniques/
CVE-2018-5999,cve,crit,2026-05-25,"⚡ Weekly Recap: Linux Flaws, Defender 0-Days, Router Botnets, and Supply Chain Chaos",https://thehackernews.com/2026/05/weekly-recap-linux-flaws-defender-0.html
CVE-2021-21708,cve,crit,2023-12-19,"Vulnerability disclosure: Which comes first, the security bug in PHP or the CVE?",https://snyk.io/blog/vulnerability-disclosure-php-use-after-free/
CVE-2022-24439,cve,crit,2025-02-20,Snyk’s Fetch the Flag CTF is More Than Just a CTF,https://snyk.io/blog/snyks-fetch-the-flag-ctf/
CVE-2022-28368,cve,crit,2023-12-19,"Vulnerability disclosure: Which comes first, the security bug in PHP or the CVE?",https://snyk.io/blog/vulnerability-disclosure-php-use-after-free/
CVE-2022-33891,cve,crit,2025-02-20,Snyk’s Fetch the Flag CTF is More Than Just a CTF,https://snyk.io/blog/snyks-fetch-the-flag-ctf/
CVE-2023-38545,cve,crit,2023-10-11,How to update cURL,https://snyk.io/blog/how-to-update-curl/
CVE-2023-38546,cve,crit,2023-10-11,How to update cURL,https://snyk.io/blog/how-to-update-curl/
CVE-2023-38831,cve,crit,2026-05-14,FrostyNeighbor: Fresh mischief and digital shenanigans,https://www.welivesecurity.com/en/eset-research/frostyneighbor-fresh-mischief-digital-shenanigans/
CVE-2023-40267,cve,crit,2025-02-20,Snyk’s Fetch the Flag CTF is More Than Just a CTF,https://snyk.io/blog/snyks-fetch-the-flag-ctf/
CVE-2023-46133,cve,crit,2023-10-25,Weak Hash vulnerability discovered in crypto-js and crypto-es (CVE-2023-46233 & CVE-2023-46133),https://snyk.io/blog/weak-hash-vulnerability-crypto-js-crypto-es/
CVE-2023-46233,cve,crit,2023-10-25,Weak Hash vulnerability discovered in crypto-js and crypto-es (CVE-2023-46233 & CVE-2023-46133),https://snyk.io/blog/weak-hash-vulnerability-crypto-js-crypto-es/
CVE-2023-4863,cve,crit,2023-10-05,How to find and fix Critical WebP zero-day vulnerability CVE-2023-4863,https://snyk.io/blog/find-and-fix-webp-vulnerability-cve-2023-4863/
CVE-2023-50164,cve,crit,2024-01-02,Krampus delivers an end-of-year Struts vulnerability,https://snyk.io/blog/struts-path-traversal-vulnerability/
CVE-2023-5129,cve,crit,2023-10-05,How to find and fix Critical WebP zero-day vulnerability CVE-2023-4863,https://snyk.io/blog/find-and-fix-webp-vulnerability-cve-2023-4863/
CVE-2023-5654,cve,crit,2023-11-27,Exploring WebExtension security vulnerabilities in React Developer Tools and Vue.js devtools,https://snyk.io/blog/webextension-security-vulnerabilities-react-developer-tools-vue-js/
CVE-2023-5718,cve,crit,2023-11-27,Exploring WebExtension security vulnerabilities in React Developer Tools and Vue.js devtools,https://snyk.io/blog/webextension-security-vulnerabilities-react-developer-tools-vue-js/
CVE-2024-24762,cve,crit,2024-07-31,A denial of service Regex breaks FastAPI security,https://snyk.io/blog/dos-regex-breaks-fastapi-security/
CVE-2024-3094,cve,crit,2024-03-31,The XZ backdoor CVE-2024-3094,https://snyk.io/blog/the-xz-backdoor-cve-2024-3094/
CVE-2024-38526,cve,crit,2024-06-26,Polyfill supply chain attack embeds malware in JavaScript CDN assets,https://snyk.io/blog/polyfill-supply-chain-attack-js-cdn-assets/
CVE-2024-42009,cve,crit,2026-05-14,FrostyNeighbor: Fresh mischief and digital shenanigans,https://www.welivesecurity.com/en/eset-research/frostyneighbor-fresh-mischief-digital-shenanigans/
CVE-2025-0994,cve,crit,2026-05-05,UAT-8302 and its box full of malware,https://blog.talosintelligence.com/uat-8302/
CVE-2025-29927,cve,crit,2026-05-07,PCPJack | Cloud Worm Evicts TeamPCP and Steals Credentials at Scale,https://www.sentinelone.com/labs/cloud-worm-evicts-teampcp-and-steals-credentials-at-scale/
CVE-2025-30066,cve,crit,2025-03-17,Reconstructing the TJ Actions Changed Files GitHub Actions Compromise,https://snyk.io/blog/reconstructing-tj-actions-changed-files-github-actions-compromise/
CVE-2025-33073,cve,crit,2026-05-27,AI Chatbot Recommendations Redirect Users to Cryptojacking Malware Sites,https://thehackernews.com/2026/05/ai-chatbot-recommendations-redirect.html
CVE-2025-48703,cve,crit,2026-05-07,PCPJack | Cloud Worm Evicts TeamPCP and Steals Credentials at Scale,https://www.sentinelone.com/labs/cloud-worm-evicts-teampcp-and-steals-credentials-at-scale/
CVE-2025-54313,cve,crit,2025-07-22,Maintainers of ESLint Prettier Plugin Attacked via npm Supply Chain Malware,https://snyk.io/blog/maintainers-of-eslint-prettier-plugin-attacked-via-npm-supply-chain-malware/
CVE-2025-55182,cve,crit,2026-05-07,PCPJack | Cloud Worm Evicts TeamPCP and Steals Credentials at Scale,https://www.sentinelone.com/labs/cloud-worm-evicts-teampcp-and-steals-credentials-at-scale/
CVE-2025-8088,cve,crit,2025-11-07,"The who, where, and how of APT attacks in Q2 2025–Q3 2025",https://www.welivesecurity.com/en/videos/who-where-how-apt-attacks-q2-2025-q3-2025/
CVE-2025-9501,cve,crit,2026-05-07,PCPJack | Cloud Worm Evicts TeamPCP and Steals Credentials at Scale,https://www.sentinelone.com/labs/cloud-worm-evicts-teampcp-and-steals-credentials-at-scale/
CVE-2026-0257,cve,crit,2026-05-30,Palo Alto GlobalProtect VPN auth bypass flaw now exploited in attacks,https://www.bleepingcomputer.com/news/security/palo-alto-globalprotect-vpn-auth-bypass-flaw-now-exploited-in-attacks/
CVE-2026-1357,cve,crit,2026-05-07,PCPJack | Cloud Worm Evicts TeamPCP and Steals Credentials at Scale,https://www.sentinelone.com/labs/cloud-worm-evicts-teampcp-and-steals-credentials-at-scale/
CVE-2026-20122,cve,crit,2026-05-14,Ongoing exploitation of Cisco Catalyst SD-WAN vulnerabilities,https://blog.talosintelligence.com/sd-wan-ongoing-exploitation/
CVE-2026-20127,cve,crit,2026-05-14,Ongoing exploitation of Cisco Catalyst SD-WAN vulnerabilities,https://blog.talosintelligence.com/sd-wan-ongoing-exploitation/
CVE-2026-20128,cve,crit,2026-05-14,Ongoing exploitation of Cisco Catalyst SD-WAN vulnerabilities,https://blog.talosintelligence.com/sd-wan-ongoing-exploitation/
CVE-2026-20133,cve,crit,2026-05-14,Ongoing exploitation of Cisco Catalyst SD-WAN vulnerabilities,https://blog.talosintelligence.com/sd-wan-ongoing-exploitation/
CVE-2026-20182,cve,crit,2026-05-14,Ongoing exploitation of Cisco Catalyst SD-WAN vulnerabilities,https://blog.talosintelligence.com/sd-wan-ongoing-exploitation/
CVE-2026-20223,cve,crit,2026-05-25,"⚡ Weekly Recap: Linux Flaws, Defender 0-Days, Router Botnets, and Supply Chain Chaos",https://thehackernews.com/2026/05/weekly-recap-linux-flaws-defender-0.html
CVE-2026-20239,cve,crit,2026-05-25,"⚡ Weekly Recap: Linux Flaws, Defender 0-Days, Router Botnets, and Supply Chain Chaos",https://thehackernews.com/2026/05/weekly-recap-linux-flaws-defender-0.html
CVE-2026-21858,cve,crit,2026-01-08,Critical n8n Vulnerability Allows Unauthenticated Remote Code Execution (CVE-2026-21858),https://www.aikido.dev/blog/n8n-rce-vulnerability-cve-2026-21858
